Time,variable,DAPI,Hoechst,Name,Genus,Species,Foe,IVV,Common Name,Documented cytotoxins,Documented adhesins/ adherence,Documented immune evasion,Common/ rare/ emerging,Healthy/ opportunistic/ nosocomial,Reservoir,Threat Level,Gram stain,rod_shape,coccus_shape
10,11,2426,0.21049891540130153,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
11,11,2542,0.22056399132321042,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
12,11,2613,0.22672451193058568,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
13,11,2593,0.2249891540130152,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
14,11,2674,0.23201735357917572,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
15,11,2754,0.2389587852494577,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
16,11,2833,0.24581344902386118,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
17,11,2902,0.25180043383947937,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
18,11,2961,0.2569197396963124,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
0,11,1929,0.16888460864997373,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
1,11,2247,0.1967256172299072,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
2,11,2233,0.19549991244965856,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
3,11,2215,0.19392400630362458,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
4,11,2321,0.20320434249693572,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
5,11,2483,0.21738749781124148,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
6,11,2514,0.22010155839607776,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
7,11,2532,0.2216774645421117,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
8,11,2515,0.22018910873752406,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
9,11,2543,0.22264051829802137,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
10,11,2513,0.22001400805463142,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
11,11,2594,0.22710558571178427,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
12,11,2680,0.2346349150761688,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
13,11,2709,0.2371738749781124,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
14,11,2777,0.24312729819646298,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
15,11,2827,0.24750481526877954,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
16,11,2901,0.25398354053580807,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
17,11,3020,0.26440203116792155,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
18,11,3073,0.2690421992645771,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
0,12,2176,0.2839989558861916,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
1,12,1992,0.25998433829287393,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
2,12,1914,0.24980422866092403,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
3,12,1902,0.24823805794831635,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
4,12,1918,0.2503262855651266,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
5,12,1888,0.2464108587836074,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
6,12,1898,0.24771600104411381,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
7,12,1918,0.2503262855651266,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
8,12,1908,0.2490211433046202,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
9,12,1892,0.24693291568780998,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
10,12,1923,0.2509788566953798,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
11,12,1959,0.2556773688332028,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
12,12,2009,0.2622030801357348,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
13,12,2019,0.26350822239624117,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
14,12,2068,0.2699034194727225,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
15,12,2178,0.28425998433829286,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
16,12,2238,0.2920908379013312,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
17,12,2350,0.3067084312190029,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
18,12,2426,0.31662751239885145,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
0,12,1928,0.2769319161160586,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
1,12,2031,0.2917265153691468,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
2,12,2029,0.29143924159724216,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
3,12,2035,0.29230106291295604,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
4,12,2104,0.3022120080436656,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
5,12,2074,0.29790290146509624,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
6,12,2054,0.29503016374605,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
7,12,2143,0.3078138465958058,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
8,12,2197,0.3155702384372307,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
9,12,2252,0.32347026716460786,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
10,12,2279,0.3273484630853203,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
11,12,2323,0.33366848606722205,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
12,12,2377,0.34142487790864695,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
13,12,2404,0.3453030738293594,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
14,12,2515,0.36124676817006607,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
15,12,2565,0.3684286124676817,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
16,12,2601,0.37359954036196497,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
17,12,2661,0.3822177535191037,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
18,12,2764,0.3970123527721919,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
0,12,1987,0.2666040520595733,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
1,12,2022,0.27130014759157384,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
2,12,2052,0.27532537233328863,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
3,12,2030,0.2723735408560311,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
4,12,2062,0.2766671139138602,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
5,12,2079,0.2789480746008319,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
6,12,2124,0.284985911713404,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
7,12,2094,0.28096068697168924,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
8,12,2148,0.2882060915067758,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
9,12,2147,0.2880719173487186,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
10,12,2169,0.2910237488259761,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
11,12,2237,0.3001475915738629,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
12,12,2234,0.2997450690996914,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
13,12,2256,0.30269690057694887,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
14,12,2261,0.3033677713672347,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
15,12,2378,0.31906614785992216,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
16,12,2438,0.3271165973433517,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
17,12,2481,0.33288608613980947,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
18,12,2583,0.3465718502616396,12,Corynebacterium,amycolatum,0,1,NIST0012,+/-,+,-,rare/ emerging,opportunistic,environmental,Low,+,1.0,0.0
0,129,1753,0.29319284161230974,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
1,129,1900,0.3177788927914367,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
2,129,1884,0.3151028600100351,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
3,129,1903,0.3182806489379495,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
4,129,1918,0.32078942967051344,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
5,129,1919,0.32095668171935104,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
6,129,1919,0.32095668171935104,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
7,129,1949,0.325974243184479,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
8,129,1980,0.33115905669844453,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
9,129,2007,0.3356748620170597,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
10,129,2041,0.3413614316775381,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
11,129,2086,0.34888777387522996,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
12,129,2129,0.3560796119752467,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
13,129,2189,0.3661147349055026,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
14,129,2207,0.3691252717845794,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
15,129,2276,0.38066566315437367,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
16,129,2330,0.38969727379160396,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
17,129,2394,0.4004014049172102,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
18,129,2474,0.41378156882421807,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
0,129,1848,0.27389951089373055,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
1,129,1978,0.2931673336297614,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
2,129,2030,0.30087446272417373,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
3,129,2038,0.30206017489254483,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
4,129,2062,0.30561731139765824,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
5,129,2209,0.3274047724914777,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
6,129,2287,0.3389654661330962,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
7,129,2309,0.3422261745961168,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
8,129,2389,0.3540832962798281,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
9,129,2414,0.3577886468059878,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
10,129,2465,0.3653475618793538,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
11,129,2421,0.3588261449533126,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
12,129,2479,0.36742255817400327,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
13,129,2565,0.38016896398399286,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
14,129,2605,0.3860975248258485,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
15,129,2655,0.3935082258781681,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
16,129,2760,0.40907069808803914,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
17,129,2841,0.4210760337927968,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
18,129,3166,0.46924559063287385,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
0,129,2327,0.30554096638655465,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
1,129,2299,0.3018644957983193,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
2,129,2360,0.30987394957983194,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
3,129,2393,0.31420693277310924,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
4,129,2512,0.32983193277310924,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
5,129,2636,0.34611344537815125,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
6,129,2750,0.36108193277310924,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
7,129,2835,0.37224264705882354,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
8,129,2868,0.37657563025210083,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
9,129,2939,0.3858981092436975,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
10,129,2951,0.38747373949579833,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
11,129,2972,0.3902310924369748,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
12,129,2964,0.38918067226890757,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
13,129,3071,0.40323004201680673,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
14,129,3174,0.4167542016806723,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
15,129,3360,0.4411764705882353,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
16,129,3451,0.453125,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
17,129,3622,0.47557773109243695,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
18,129,4014,0.5270483193277311,129,Pseudomonas,putida,0,1,NIST0129,-,-,-,rare/ emerging,opportunistic,environmental,Medium,-,1.0,0.0
0,139,1938,0.2545311268715524,139,Elizabethkingia,anophelis,0,1,NIST0139,+,+,+,Common,opportunistic,environmental,High,-,0.0,0.0
1,139,1975,0.2593905962700289,139,Elizabethkingia,anophelis,0,1,NIST0139,+,+,+,Common,opportunistic,environmental,High,-,0.0,0.0
2,139,1965,0.25807722616233253,139,Elizabethkingia,anophelis,0,1,NIST0139,+,+,+,Common,opportunistic,environmental,High,-,0.0,0.0
3,139,2020,0.26530076175466244,139,Elizabethkingia,anophelis,0,1,NIST0139,+,+,+,Common,opportunistic,environmental,High,-,0.0,0.0
4,139,2070,0.2718676122931442,139,Elizabethkingia,anophelis,0,1,NIST0139,+,+,+,Common,opportunistic,environmental,High,-,0.0,0.0
5,139,2109,0.27698975571316,139,Elizabethkingia,anophelis,0,1,NIST0139,+,+,+,Common,opportunistic,environmental,High,-,0.0,0.0
