,Unnamed: 0,Unnamed: 0.1,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,PE-Texas Red-A,file_name,Organism,Time,Name,Genus,Species,Foe,IVV,Common Name,Documented cytotoxins,Documented adhesins/ adherence,Documented immune evasion,Common/ rare/ emerging,Healthy/ opportunistic/ nosocomial,Reservoir,Threat Level,Gram stain,index_col,scaled_FSC-A,scaled_FSC-H,scaled_FSC-W,scaled_SSC-A,scaled_SSC-H,scaled_SSC-W,scaled_FITC-A,scaled_PE-Texas Red-A,org_index,Foe_prob_predictions
22,22,31023,4.904141156956632,4.77138902689912,4.949232073459915,3.805256109622075,3.766784515497859,4.854951546416834,2.125806477980269,1.8455941045072977,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-34-moi1\MD-Jurkat NFkB-34-moi1/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,31023,0.4524928769666978,0.4489356737353267,0.3028568585865141,0.6032366113786205,0.4473857425672043,0.7022169228252153,0.4092101736392876,0.5737562833005795,0,0.1
23,23,13818,4.807844456214271,4.660400591074283,4.963923818114523,3.8388793309781515,3.7202420182870566,4.935117258560193,2.5992715768282646,1.7951846003023082,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-November-Isolates-1\MD-Jurkat NFkB-IV&V-Isolates/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,13818,0.3499978809191377,0.35304228812081906,0.3246810944491756,0.6227679671029711,0.4265710290625797,0.7518084578017645,0.4941604160544151,0.5589930145920748,0,0.1
24,24,17856,5.1077720891610845,4.880910726235852,5.043341305856735,4.138261641825455,4.062845113277049,4.891896462839786,3.234795582045759,1.9819996906452555,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-3\MD-Jurkat NFkB-IV&V-Isolates_Rep-3/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,17856,0.6692308485748466,0.5435618072563733,0.44265387609307627,0.7966758252707562,0.5797898225389067,0.7250715207076377,0.6081876557289313,0.6137049468166236,0,0.1
25,25,20096,5.1475653215423725,4.975059396468232,4.988985858504559,4.087001544000724,3.9804124616068925,4.923068992618996,2.8680033800459506,2.115077704457387,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-26-moi1\MD-Jurkat NFkB-26-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,20096,0.7115854377165025,0.6249057299145431,0.361910156996224,0.7668994039553461,0.5429243311973153,0.7443552463744005,0.5423769200449783,0.652679074971372,0,0.1
26,26,20163,4.962425683440267,4.927380629926693,4.851524969930908,3.7019261434315403,3.6864575104691117,4.831948568954452,1.9459115213227105,1.5594278253456202,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-26-moi1\MD-Jurkat NFkB-26-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,20163,0.5145289827265094,0.5837115432264142,0.15771528942606405,0.543213382037222,0.41146193751684135,0.6879869867229762,0.376932989503642,0.4899476892426631,0,0.1
27,27,14420,5.0601248251601305,4.846219552129426,5.030385215862566,4.044661236474739,3.9808665545820783,4.88027463104721,2.358315634274301,1.997080410120004,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-2\MD-Jurkat NFkB-IV&V-Isolates_Rep-2/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,14420,0.6185166901685184,0.5135888275375002,0.4234079137830831,0.7423043897236443,0.5431274104420791,0.7178821068993697,0.4509275235326026,0.6181215884288466,0,0.1
28,28,26619,4.839859841423171,4.675154855843708,4.9811849168918485,4.1225959436532404,4.091315159697223,4.847760723371295,1.9929951051659025,1.9599948237959424,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-31-moi1\MD-Jurkat NFkB-31-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,26619,0.3840739889804787,0.3657898900712233,0.3503220445079487,0.7875757952518736,0.5925221831815954,0.6977685877073871,0.3853808389248222,0.6072604525230433,0,0.1
29,29,22448,4.8913343137344105,4.739429929468686,4.968384323614315,3.909712171853176,3.852845818014997,4.873346309165807,2.963806698931915,2.168821446837016,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,22448,0.4388617002459574,0.4213231929303447,0.33130706885743777,0.663913977398809,0.4858740374177286,0.7135961583594752,0.5595661810556389,0.6684188312467885,0,0.1
30,30,22141,5.302931193428629,5.072043917436654,5.04736718166545,4.3306539862882785,4.249736304568834,4.8973976001762125,3.0784640753982906,2.549518237695324,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,22141,0.8769516891264262,0.7086998116920409,0.4486342184736945,0.9084344006478884,0.6633712123740363,0.7284745946320905,0.5801382822500044,0.7799122709967924,0,0.1
31,31,22305,5.0699461179829655,5.041471640613747,4.844954398567112,4.3334887984576405,4.319147716254982,4.8308209993837545,2.694850789934456,3.104538330599488,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,22305,0.6289701466348179,0.6822855361082398,0.14795486256273982,0.9100811115416828,0.6944133509523549,0.6872894577631672,0.5113094674691314,0.9424592132726568,0,0.1
32,32,25263,5.000702039310517,4.853856329438983,4.96332562728163,4.105305762793075,4.066325925362038,4.85545976357791,2.345569768018139,1.8573324964312683,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-30-moi1\MD-Jurkat NFkB-30-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,25263,0.5552690591091096,0.5201869602704745,0.3237924962510137,0.7775321212879214,0.5813465096668942,0.7025313124619479,0.4486406296709721,0.5771940682364243,0,0.1
33,33,13408,5.23223228876741,5.054942288861626,4.993769952349581,3.9769182892837,3.9130717403092494,4.8803265237132685,2.865506712231342,2.163161393182534,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-November-Isolates-1\MD-Jurkat NFkB-IV&V-Isolates/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,13408,0.8017021333477121,0.6939241005885055,0.36901681416441257,0.7029532643394338,0.5128082457913983,0.7179142083663814,0.5419289619238895,0.6667611896110788,0,0.1
34,34,23459,5.218215213114976,5.03605371312267,4.9986414194846605,4.200562147928418,4.127881943484625,4.889160139713097,2.85582190540603,2.2078227858604125,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,23459,0.7867828255986522,0.6776044771648264,0.376253262268607,0.8328654970936227,0.6088755628653928,0.7233787962196212,0.5401912906793654,0.6798410274590831,0,0.1
35,35,31037,4.964733570618715,4.802315251404337,4.978898253336312,4.1105627830488025,4.045362102653348,4.881680600937047,2.3471348007880986,1.9065505158143432,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-34-moi1\MD-Jurkat NFkB-34-moi1/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,31037,0.5169854208537732,0.4756557581300633,0.346925260399062,0.7805858659478204,0.5719710788285626,0.7187518578577738,0.4489214316002361,0.5916083906328108,0,0.1
36,36,29317,4.887232613090253,4.684890224459586,5.0188223214082965,3.9498582352140432,3.8952567531448947,4.871081412948524,2.5696079818287383,1.8960850921578456,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-33-moi1\MD-Jurkat NFkB-33-moi1/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,29317,0.4344959869030269,0.3742011939142209,0.40623151017972603,0.687234379573531,0.5048410356901625,0.7121950645879043,0.4888381027682927,0.5885434158026494,0,0.1
37,37,28806,5.168108619235139,5.001824541797536,4.982764023201461,4.0075088243133745,3.949438801036505,4.8745499426652685,2.543571431544525,1.8630848198706824,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-33-moi1\MD-Jurkat NFkB-33-moi1/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,28806,0.733451038506475,0.6480306652559307,0.3526677692236557,0.7207229662705896,0.5290723054230628,0.7143407414385958,0.48416656253506496,0.5788787326260789,0,0.1
38,38,29396,4.739582078144077,4.586103235445237,4.969958768680144,4.115117705473805,4.060584531360865,4.8710131069766796,2.3344537511509307,2.2177996671044657,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-33-moi1\MD-Jurkat NFkB-33-moi1/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,29396,0.2773416827673385,0.2888497898616453,0.3336458694068103,0.7832317697783133,0.5787788461676561,0.7121528096399814,0.4466461672916803,0.6827629244505681,0,0.1
39,39,16450,4.954277530559688,4.806234257401481,4.964523247911045,3.9100798512779553,3.8561244442423,4.870435318427483,2.299942900022767,2.044382925534616,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-3\MD-Jurkat NFkB-IV&V-Isolates_Rep-3/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,16450,0.5058563606028903,0.4790417573156267,0.3255715330982234,0.6641275582916637,0.4873403030824388,0.7117953822526313,0.4404541476973679,0.6319749233637493,0,0.1
40,40,17806,5.1061745832816525,4.964523616083175,4.958130948175415,3.9867672307462336,3.9180303367848803,4.885216864166974,2.4405942426177627,1.7897216864529024,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-3\MD-Jurkat NFkB-IV&V-Isolates_Rep-3/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,17806,0.6675305166056704,0.6158028747953974,0.3160759244816207,0.7086744050111107,0.5150258269529289,0.7209394355261374,0.4656901485737366,0.5573931086544519,0,0.1
41,41,24869,4.874214786212613,4.766353350642424,4.924341364085771,3.883320678382976,3.8080758680913065,4.891724746848415,1.9365137501488097,1.8083460336798205,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-30-moi1\MD-Jurkat NFkB-30-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,24869,0.4206402462173582,0.4445848777129795,0.2658823041723881,0.6485834520572751,0.4658520416692555,0.7249652949988601,0.3752468188834056,0.5628475610829736,0,0.1
