IVV,Documented cytotoxins,Healthy/ opportunistic/ nosocomial,Common Name,Common/ rare/ emerging,Species,Reservoir,Location,Documented immune evasion,Documented adhesins/ adherence,Strain Name,Foe,Gram stain,coccus_shape,Strain ID,rod_shape,Genus,Name,antibiotic,DD,DD^2,DD^2_std,index_col
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Doxycycline,24,576,27.13546265,317
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Doxycycline,23,529,27.13546265,346
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Azithromycin,20,400,22.5166605,375
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Azithromycin,20,400,22.5166605,404
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Azithromycin,19,361,22.5166605,433
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Meropenem,39,1521,45.61067127,462
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Meropenem,40,1600,45.61067127,491
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Meropenem,40,1600,45.61067127,520
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Rifampin,13,169,44.09459528,0
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Rifampin,16,256,44.09459528,29
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Rifampin,15,225,44.09459528,58
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Ciprofloxacin,30,900,60.00277771,87
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Ciprofloxacin,31,961,60.00277771,116
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Ciprofloxacin,29,841,60.00277771,145
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Imipenem,31,961,152.4204711,174
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Imipenem,35,1225,152.4204711,203
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Imipenem,35,1225,152.4204711,232
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Doxycycline,24,576,27.13546265,261
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Doxycycline,24,576,27.13546265,290
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Doxycycline,23,529,27.13546265,319
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Azithromycin,22,484,0,348
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Azithromycin,22,484,0,377
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Azithromycin,22,484,0,406
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Meropenem,28,784,32.90896534,435
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Meropenem,29,841,32.90896534,464
1,-,opportunistic/nosocomial,NIST0011,rare,baylyi,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Acinetobacter baylyi,0,-,1,nist0011,1,Acinetobacter,nist0011,Meropenem,28,784,32.90896534,493
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Rifampin,43,1849,101.6136474,1
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Rifampin,45,2025,101.6136474,30
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Rifampin,45,2025,101.6136474,59
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Ciprofloxacin,6,36,0,88
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Ciprofloxacin,6,36,0,117
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Ciprofloxacin,6,36,0,146
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Imipenem,40,1600,82.0020325,175
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Imipenem,41,1681,82.0020325,204
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Imipenem,42,1764,82.0020325,233
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Doxycycline,35,1225,39.83716857,262
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Doxycycline,35,1225,39.83716857,291
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Doxycycline,34,1156,39.83716857,320
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Azithromycin,11,121,20.0083316,349
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Azithromycin,10,100,20.0083316,378
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Azithromycin,9,81,20.0083316,407
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Meropenem,27,729,30.59956427,436
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Meropenem,26,676,30.59956427,465
1,-,opportunistic,NIST0012,rare,amycolatum,skin commensal,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Corynebacterium amycolatum,0,+,0,nist0012,1,Corynebacterium,nist0012,Meropenem,26,676,30.59956427,494
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Rifampin,37,1369,87.75724092,2
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Rifampin,39,1521,87.75724092,31
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Rifampin,39,1521,87.75724092,60
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Ciprofloxacin,41,1681,47.92007234,89
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Ciprofloxacin,42,1764,47.92007234,118
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Ciprofloxacin,42,1764,47.92007234,147
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Imipenem,39,1521,123.5165306,176
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Imipenem,42,1764,123.5165306,205
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Imipenem,41,1681,123.5165306,234
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Doxycycline,40,1600,46.7653718,263
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Doxycycline,41,1681,46.7653718,292
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Doxycycline,40,1600,46.7653718,321
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Azithromycin,39,1521,44.45597073,350
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Azithromycin,39,1521,44.45597073,379
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Azithromycin,38,1444,44.45597073,408
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Meropenem,42,1764,49.07477288,437
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Meropenem,42,1764,49.07477288,466
1,+/-,opportunistic,NIST0014,rare/ emerging,diphtheriae,environmental,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,+,Corynebacterium diptheriae (𝛥DT),0,+,0,nist0014,1,Corynebacterium,nist0014,Meropenem,43,1849,49.07477288,495
