Foe,Strain ID,Documented immune evasion,Common/ rare/ emerging,rod_shape,IVV,Healthy/ opportunistic/ nosocomial,Documented adhesins/ adherence,Common Name,Reservoir,coccus_shape,Threat Level,Name,Genus,Strain Name,Species,Location,Documented cytotoxins,antibiotic,DD,DD^2,DD^2_std,index_col
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Doxycycline,21,441,24.82606158,130
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Doxycycline,22,484,24.82606158,143
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Azithromycin,22,484,62.85698052,156
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Azithromycin,20,400,62.85698052,169
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Azithromycin,19,361,62.85698052,182
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Meropenem,26,676,30.59956427,195
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Meropenem,27,729,30.59956427,208
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Meropenem,27,729,30.59956427,221
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Kanamycin,6,36,0,234
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Kanamycin,6,36,0,247
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Kanamycin,6,36,0,260
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ampicillin,6,36,0,273
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ampicillin,6,36,0,286
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ampicillin,6,36,0,299
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Tetracycline,23,529,25.98076211,312
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Tetracycline,23,529,25.98076211,325
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Tetracycline,22,484,25.98076211,338
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Chloramphenicol,22,484,25.98076211,351
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Chloramphenicol,22,484,25.98076211,364
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Chloramphenicol,23,529,25.98076211,377
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Polymyxin B,13,169,0,390
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Polymyxin B,13,169,0,403
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Polymyxin B,13,169,0,416
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ceftazidime,16,256,17.89785834,429
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ceftazidime,15,225,17.89785834,442
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ceftazidime,16,256,17.89785834,455
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,9,81,0,3
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,9,81,0,16
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,9,81,0,29
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ciprofloxacin,30,900,34.06366588,42
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ciprofloxacin,30,900,34.06366588,55
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ciprofloxacin,29,841,34.06366588,68
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Imipenem,27,729,30.59956427,81
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Imipenem,27,729,30.59956427,94
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Imipenem,26,676,30.59956427,107
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Doxycycline,21,441,24.82606158,120
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Doxycycline,21,441,24.82606158,133
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Doxycycline,22,484,24.82606158,146
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Azithromycin,23,529,50.80682369,159
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Azithromycin,21,441,50.80682369,172
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Azithromycin,21,441,50.80682369,185
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Meropenem,26,676,30.59956427,198
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Meropenem,27,729,30.59956427,211
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Meropenem,27,729,30.59956427,224
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Kanamycin,6,36,0,237
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Kanamycin,6,36,0,250
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Kanamycin,6,36,0,263
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ampicillin,6,36,0,276
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ampicillin,6,36,0,289
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ampicillin,6,36,0,302
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Tetracycline,21,441,0,315
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Tetracycline,21,441,0,328
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Tetracycline,21,441,0,341
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Chloramphenicol,23,529,25.98076211,354
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Chloramphenicol,22,484,25.98076211,367
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Chloramphenicol,22,484,25.98076211,380
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Polymyxin B,13,169,0,393
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Polymyxin B,13,169,0,406
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Polymyxin B,13,169,0,419
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ceftazidime,25,625,29.44486373,432
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ceftazidime,25,625,29.44486373,445
0,nist0041,NaN,NaN,NaN,1,NaN,NaN,NIST0041,NaN,NaN,NaN,nist0041,Bacillus,Bacillus subtillis,subtilis,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ceftazidime,26,676,29.44486373,458
1,nist0015,NaN,NaN,NaN,1,NaN,NaN,NIST0015,NaN,NaN,NaN,nist0015,Klebsiella,Klebsiella pneumoniae,pneumoniae,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,8,64,9.814954576,1
1,nist0015,NaN,NaN,NaN,1,NaN,NaN,NIST0015,NaN,NaN,NaN,nist0015,Klebsiella,Klebsiella pneumoniae,pneumoniae,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,9,81,9.814954576,14
1,nist0015,NaN,NaN,NaN,1,NaN,NaN,NIST0015,NaN,NaN,NaN,nist0015,Klebsiella,Klebsiella pneumoniae,pneumoniae,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,9,81,9.814954576,27
